datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105152447|2612785|0|1|20
6050|20170114|00105152447|2612785|0||1
6050|20170114|00105149518|2346923|0|1|20
6050|20170114|00105149518|2346923|0||1
6050|20170114|00105144104|2346923|0|1|20
6050|20170114|00105144104|2346923|0||1
6050|20170114|00105151800|2346923|0|1|20
6050|20170114|00105151800|2346923|0||1
6050|20170114|00105150515|2346923|0|1|20
6050|20170114|00105150515|2346923|0||1
6050|20170114|00105144086|2346923|0|1|20
6050|20170114|00105144086|2346923|0||1
6050|20170114|00105150556|2346923|0|1|20
6050|20170114|00105150556|2346923|0||1
6050|20170114|00105151955|2081367|0|1|20
6050|20170114|00105151955|2081367|0||1
6050|20170114|00105148868|2366533|0|1|20
6050|20170114|00105148868|2366533|0||1
6050|20170114|00105145812|2346923|0||1
6050|20170114|00105145812|2346923|0|1|20
6050|20170114|00105151791|2346923|0|1|20
6050|20170114|00105151791|2346923|0||1
6050|20170114|00105151126|2346923|0|1|20
6050|20170114|00105151126|2346923|0||1
6050|20170114|00105150472|2535300|0|1|20
6050|20170114|00105150472|2535300|0||1
6050|20170114|00105152477|2613135|0|1|20
6050|20170114|00105152477|2613135|0||1
6050|20170114|00105151191|2346923|0|1|20
6050|20170114|00105151191|2346923|0||1
6050|20170114|00105150641|2535300|0|1|20
6050|20170114|00105150641|2535300|0||1
6050|20170114|00105149681|2346923|0|1|20
6050|20170114|00105149681|2346923|0||1
6050|20170114|00105122256|2346923|0|1|20
6050|20170114|00105122256|2346923|0||1
6050|20170114|00105150757|2346923|0|1|20
6050|20170114|00105150757|2346923|0||1
6050|20170114|00105150865|2346923|0|1|20
6050|20170114|00105150865|2346923|0||1
6050|20170114|00105150746|2346923|0|1|20
6050|20170114|00105150746|2346923|0||1
6050|20170114|00105152490|2272160|0|1|20
6050|20170114|00105152490|2272160|0||1
6050|20170114|00105149081|2346923|0|1|20
6050|20170114|00105149081|2346923|0||1
6050|20170114|00105147057|2615348|0|1|20
6050|20170114|00105147057|2615348|0||1
6050|20170114|00105136370|2382970|0|1|20
6050|20170114|00105136370|2382970|0||1
