datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105151845|0|1||20270111|131075|0|0|20170111|0|FGIE
6050|20170114|00105151853|0|1||20470105|0|2248.8|359|20470105|0|XDP3
6050|20170114|00105151863|0|2||20270201|481631|0|0|20170201|0|FGIE
6050|20170114|00105151875|0|1||20220201|0|19819.4|60|20220201|0|40
6050|20170114|00105152459|0|2||20450405|0|388.8|314|20430405|0|R1
6050|20170114|00105152468|0|1||20400205|0|6546|276|20400205|0|XDP3
6050|20170114|00105152477|0|2||20270201|7805|0|0|20170201|0|4I
6050|20170114|00105153326|0|1||20570205|0|2254.8|480|20570205|0|XDP3
6050|20170114|00105153362|0|1||20510205|0|2255.7|408|20510205|0|XDP3
6050|20170114|00105153368|0|1||20540605|0|964.7|423|20520605|0|R1
6050|20170114|00105128894|0|1||20421205|0|1688.4|312|20421205|0|XDP3
6050|20170114|00105151329|316|1|20170120||0|1290.5|316|20430520|0|LR1ACL
6050|20170114|00105151334|0|1||20270201|47122|0|0|20170201|0|FGIE
6050|20170114|00105151342|0|1||20350205|0|2932.6|216|20350205|0|XDP2
6050|20170114|00105151885|0|1||20320405|0|3000|182|20320405|0|XUP3
6050|20170114|00105151887|0|1||20410205|0|1200|288|20410205|0|XUP2
6050|20170114|00105151889|0|1||20310201|2400|0|0|20170201|0|4N
6050|20170114|00105151890|0|2||20270201|2500|0|0|20170201|0|4N
6050|20170114|00105151915|0|1||20320205|0|187.1|180|20320205|0|40Z
6050|20170114|00105152498|0|1||20540905|0|363.5|426|20520905|0|R2
6050|20170114|00105152504|0|1||20390205|0|1687.2|264|20390205|0|XDP3
6050|20170114|00105153047|108|1|20320201||0|158219.4|60|20220201|0|LR1AC
6050|20170114|00105153069|0|1||20550205|0|1689.6|456|20550205|0|XDP3
6050|20170114|00105153089|0|1||20440201|0|605.6|300|20420201|0|R1
6050|20170114|00105153096|0|1||20430205|0|4856|312|20430205|0|XUP3
6050|20170114|00105153130|0|1||20330201|4750|0|0|20170201|0|4N
6050|20170114|00105153135|0|2||20470205|0|248.4|360|20470205|0|40Z
6050|20170114|00105153136|0|3||20410201|0|504.2|288|20410201|0|40
6050|20170114|00105151416|4|1||20450520|500000|0|0|20170120|0|PKE
6050|20170114|00105151934|0|2||20290201|93500|0|0|20170201|0|FGNE
6050|20170114|00105151941|0|1||20320201|0|1843.3|120|20270201|0|20
6050|20170114|00105151956|0|1||20581005|0|388.8|475|20561005|0|R2
6050|20170114|00105151959|0|2||20310201|92000|0|0|20170201|0|FGNE
6050|20170114|00105151960|0|1||20330201|14300|0|0|20170201|0|4I
6050|20170114|00105083460|0|1||20520601|0|2400|428|20520601|0|XDP2
6050|20170114|00105152515|0|1||20520901|0|291.2|403|20500901|0|R1
6050|20170114|00105152534|0|2||20270201|27600|0|0|20170201|0|FGIE
6050|20170114|00105152543|0|1||20380205|0|1677.6|252|20380205|0|XDP2
6050|20170114|00105153534|180|1|20500201||416565|0|0|20170201|0|LR1AC
6050|20170114|00105153543|0|1||20320205|0|35700|180|20320205|0|XUP1
6050|20170114|00105153597|0|2||20320201|26927|0|0|20170201|0|4I
6050|20170114|00105153610|15|1||20440520|240000|0|0|20170220|0|PKE
6050|20170114|00105153621|0|1||20350205|0|1213.2|216|20350205|0|XUP2
6050|20170114|00105153626|0|1||20280201|68964|0|0|20170201|0|FGNE
6050|20170114|00105151480|0|1||20361001|0|8796.9|236|20361001|0|40
6050|20170114|00105151490|0|1||20480205|0|2918.5|372|20480205|0|XDP1
6050|20170114|00105151510|0|2||20610505|0|574.8|507|20590505|0|R1
6050|20170114|00105151536|0|2||20520205|0|6148|420|20520205|0|XDP1
6050|20170114|00105151537|0|2||20580205|0|345.6|468|20560205|0|R2
6050|20170114|00105152004|0|1||20560205|0|1693.2|467|20560205|0|XDP3
6050|20170114|00105152005|0|1||20320305|0|1800|180|20320305|0|XUP3
6050|20170114|00105152559|0|2||20570205|0|2187.6|480|20570205|0|XDP3
6050|20170114|00105152560|0|2||20570205|0|170.4|456|20550205|0|R2
6050|20170114|00105152576|0|1||20570201|0|1178.4|480|20570201|0|FGV
6050|20170114|00105152581|0|1||20420205|0|3328|300|20420205|0|XDP3
6050|20170114|00105152582|0|1||20580305|0|2358|492|20580305|0|XDP3
6050|20170114|00105153431|0|1||20560205|0|4691.4|468|20560205|0|XDP2
6050|20170114|00105153451|0|2||20490505|0|462|363|20470505|0|R1
6050|20170114|00105153476|0|1||20531105|0|2065.2|440|20531105|0|XDP2
6050|20170114|00105153478|0|1||20441005|0|6338.4|332|20441005|0|XDP3
6050|20170114|00105151538|0|1||20411105|0|1686|297|20411105|0|XDP3
6050|20170114|00105151544|0|1||20440516|0|2771.8|328|20440516|0|40
6050|20170114|00105151555|0|1||20570205|0|2802|480|20570205|0|XDP1
6050|20170114|00105151560|0|1||20571005|0|1765.2|488|20571005|0|XDP3
6050|20170114|00105151572|0|1||20540205|0|2926.8|444|20540205|0|XDP3
6050|20170114|00105151588|0|1||20410601|0|536.7|232|20360601|0|00
6050|20170114|00105151589|0|2||20340201|0|2059.7|204|20340201|0|40
6050|20170114|00105152076|0|1||20500905|0|3934.8|402|20500905|0|XDP2
6050|20170114|00105152099|0|2||20610205|0|2532|527|20610205|0|XDP2
6050|20170114|00105152601|0|1||20550905|0|2912.4|462|20550905|0|XDP3
6050|20170114|00105152621|0|1||20550905|0|2514|462|20550905|0|XDP3
6050|20170114|00105153143|0|1||20370201|0|747.8|180|20320201|0|00
6050|20170114|00105153167|0|2||20270401|0|3484.5|122|20270401|0|40
6050|20170114|00105153239|0|1||20490205|0|6400|384|20490205|0|XUP3
