datenquelle|standdatum|offertnummerintern|typ|auspraegung|vertriebspersonid
6050|20170114|00105153604|11|1|1308074
6050|20170114|00105153604|9||1308074
6050|20170114|00105153604|12|1|1308074
6050|20170114|00105153603|11|1|1308073
6050|20170114|00105153603|9||1308073
6050|20170114|00105153603|12|1|1308073
6050|20170114|00105153602|11|1|1308072
6050|20170114|00105153602|12|1|1308072
6050|20170114|00105153601|9||1308071
6050|20170114|00105153601|11|1|1308071
6050|20170114|00105153601|12|1|1308071
6050|20170114|00105153600|11|1|1308070
6050|20170114|00105153600|12|1|1308070
6050|20170114|00105153600|9||1308070
6050|20170114|00105153598|11|1|1308068
6050|20170114|00105153598|12|1|1308068
6050|20170114|00105153598|9||1308068
6050|20170114|00105153599|11|1|1308069
6050|20170114|00105153599|12|1|1308069
6050|20170114|00105129445|11|1|1308067
6050|20170114|00105129445|9||1308067
6050|20170114|00105129445|12|1|1308067
6050|20170114|00105151157|11|1|1305424
6050|20170114|00105151157|9||1305424
6050|20170114|00105151157|12|1|1305424
6050|20170114|00105153597|11|1|1308066
6050|20170114|00105153597|12|1|1308066
6050|20170114|00105153596|11|1|1308065
6050|20170114|00105153596|12|1|1308065
6050|20170114|00105153595|9||1308064
6050|20170114|00105153595|11|1|1308064
6050|20170114|00105153595|12|1|1308064
6050|20170114|00105153594|11|1|1308063
6050|20170114|00105153594|9||1308063
6050|20170114|00105153594|12|1|1308063
6050|20170114|00105153593|11|1|1308062
6050|20170114|00105153593|12|1|1308062
6050|20170114|00105151373|11|1|1305668
6050|20170114|00105151373|12|1|1305668
6050|20170114|00105151373|9||1305668
6050|20170114|00105153591|11|1|1308060
6050|20170114|00105153591|12|1|1308060
6050|20170114|00105153591|9||1308060
6050|20170114|00105153592|11|1|1308061
6050|20170114|00105153592|9||1308061
6050|20170114|00105153592|12|1|1308061
6050|20170114|00105153589|11|1|1308058
6050|20170114|00105153589|12|1|1308058
6050|20170114|00105153589|9||1308058
6050|20170114|00105153590|11|1|1308059
6050|20170114|00105153590|12|1|1308059
6050|20170114|00105153590|9||1308059
6050|20170114|00105153588|11|1|1308057
6050|20170114|00105153588|12|1|1308057
6050|20170114|00105153587|11|1|1308055
6050|20170114|00105153587|12|1|1308055
6050|20170114|00105153586|11|1|1308056
6050|20170114|00105153586|12|1|1308056
6050|20170114|00105153585|11|1|1308054
6050|20170114|00105153585|12|1|1308054
6050|20170114|00105153504|9||1307963
6050|20170114|00105153504|11|1|1307963
6050|20170114|00105153504|12|1|1307963
6050|20170114|00105153584|11|1|1308053
6050|20170114|00105153584|9||1308053
6050|20170114|00105153584|12|1|1308053
6050|20170114|00105153583|11|1|1308052
6050|20170114|00105153583|12|1|1308052
6050|20170114|00105153583|9||1308052
6050|20170114|00105150880|11|1|1305136
6050|20170114|00105150880|12|1|1305136
6050|20170114|00105150880|9||1305136
6050|20170114|00105153580|11|1|1308049
6050|20170114|00105153580|9||1308049
6050|20170114|00105153580|12|1|1308049
6050|20170114|00105153575|9||1308044
6050|20170114|00105153575|12|2|1308044
6050|20170114|00105153575|11|1|1308044
6050|20170114|00105153575|12|1|1308043
6050|20170114|00105153582|11|1|1308051
6050|20170114|00105153582|12|1|1308051
6050|20170114|00105153582|9||1308051
6050|20170114|00105153581|11|1|1308050
6050|20170114|00105153581|12|1|1308050
6050|20170114|00105153578|11|1|1308047
6050|20170114|00105153578|12|1|1308047
6050|20170114|00105153578|9||1308047
6050|20170114|00105153576|11|1|1308045
6050|20170114|00105153576|12|1|1308045
6050|20170114|00105153576|9||1308045
6050|20170114|00105153579|11|1|1308048
6050|20170114|00105153579|9||1308048
6050|20170114|00105153579|12|1|1308048
6050|20170114|00105153577|9||1308046
6050|20170114|00105153577|11|1|1308046
6050|20170114|00105153577|12|1|1308046
6050|20170114|00105153571|11|1|1308038
6050|20170114|00105153571|12|1|1308038
6050|20170114|00105153571|9||1308038
6050|20170114|00105132955|11|1|1308039
6050|20170114|00105132955|9||1308039
6050|20170114|00105132955|12|1|1308039
6050|20170114|00105153572|11|1|1308040
6050|20170114|00105153572|12|1|1308040
6050|20170114|00105153574|9||1308042
6050|20170114|00105153574|11|1|1308042
6050|20170114|00105153574|12|1|1308042
6050|20170114|00105153573|9||1308041
6050|20170114|00105153573|11|1|1308041
6050|20170114|00105153573|12|1|1308041
6050|20170114|00105153570|11|1|1308037
6050|20170114|00105153570|12|1|1308037
6050|20170114|00105153568|11|1|1308035
6050|20170114|00105153568|12|1|1308035
6050|20170114|00105153568|9||1308035
6050|20170114|00105153569|9||1308036
6050|20170114|00105153569|11|1|1308036
6050|20170114|00105153569|12|1|1308036
6050|20170114|00105153564|9||1308031
6050|20170114|00105153564|11|1|1308031
6050|20170114|00105153564|12|1|1308031
6050|20170114|00105153565|11|1|1308032
6050|20170114|00105153565|12|1|1308032
6050|20170114|00105153565|9||1308032
6050|20170114|00105153566|11|1|1308033
6050|20170114|00105153566|12|1|1308033
6050|20170114|00105153566|9||1308033
6050|20170114|00105153567|11|1|1308034
6050|20170114|00105153567|12|1|1308034
6050|20170114|00105132937|11|1|1308030
6050|20170114|00105132937|9||1308030
6050|20170114|00105132937|12|1|1308030
6050|20170114|00105153561|11|1|1308027
6050|20170114|00105153561|12|1|1308027
6050|20170114|00105153561|9||1308027
6050|20170114|00105153563|9||1308029
6050|20170114|00105153563|11|1|1308029
6050|20170114|00105153563|12|1|1308029
6050|20170114|00105153558|11|1|1308024
6050|20170114|00105153558|12|1|1308024
6050|20170114|00105153558|9||1308024
6050|20170114|00105153562|11|1|1308028
6050|20170114|00105153562|9||1308028
6050|20170114|00105153562|12|1|1308028
6050|20170114|00105153559|11|1|1308025
6050|20170114|00105153559|12|1|1308025
6050|20170114|00105153560|9||1308026
6050|20170114|00105153560|11|1|1308026
6050|20170114|00105153560|12|1|1308026
6050|20170114|00105153556|11|1|1308022
6050|20170114|00105153556|12|1|1308022
6050|20170114|00105153556|9||1308022
6050|20170114|00105153557|11|1|1308023
6050|20170114|00105153557|12|1|1308023
6050|20170114|00105153555|11|1|1308021
6050|20170114|00105153555|9||1308021
6050|20170114|00105153555|12|1|1308021
6050|20170114|00105153554|11|1|1308020
6050|20170114|00105153554|12|1|1308020
6050|20170114|00105153554|9||1308020
6050|20170114|00105153553|11|1|1308019
6050|20170114|00105153553|12|1|1308019
6050|20170114|00105153553|9||1308019
6050|20170114|00105151368|11|1|1305660
6050|20170114|00105151368|12|1|1305660
6050|20170114|00105151368|9||1305660
6050|20170114|00105153552|9||1308018
6050|20170114|00105153552|11|1|1308018
6050|20170114|00105153552|12|1|1308018
6050|20170114|00105153551|11|1|1308017
6050|20170114|00105153551|12|1|1308017
6050|20170114|00105153549|11|1|1308015
6050|20170114|00105153549|12|1|1308015
6050|20170114|00105153529|11|1|1307993
6050|20170114|00105153529|12|1|1307993
6050|20170114|00105153529|9||1307993
6050|20170114|00105151951|11|1|1306281
6050|20170114|00105151951|9||1306281
6050|20170114|00105151951|12|1|1306281
6050|20170114|00105153548|11|1|1308014
6050|20170114|00105153548|12|1|1308014
6050|20170114|00105153547|11|1|1308013
6050|20170114|00105153547|9||1308013
6050|20170114|00105153547|12|1|1308013
6050|20170114|00105153541|12|2|1308006
6050|20170114|00105153541|11|1|1308006
6050|20170114|00105153541|12|1|1308005
6050|20170114|00105153541|9||1308006
6050|20170114|00105153545|9||1308011
6050|20170114|00105153545|11|1|1308011
6050|20170114|00105153545|12|1|1308011
6050|20170114|00105153544|11|2|1308010
6050|20170114|00105153544|11|1|1308009
6050|20170114|00105153544|12|2|1308010
6050|20170114|00105153544|12|1|1308009
6050|20170114|00105153540|11|1|1308004
6050|20170114|00105153540|9||1308004
6050|20170114|00105153540|12|1|1308004
6050|20170114|00105153543|11|1|1308008
