datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170114|GIDI|2517354|2296213|GIDI|2517354|2296213|20170113|20170113|20170713|105.153.550|00105153550|4|20170113|20170113|20170205|20530205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP810664|2668139|2523862|WP810664|2668139|2523862|20170113|20170113|20170713|105.153.637|00105153637|2|||20170205|20470105||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP810664|2668139|2523862|WP810664|2668139|2523862|20170113|20170113|20170713|105.153.636|00105153636|2|||20170205|20470105||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|NSAM|2659800|2296213|NSAM|2659800|2296213|20170113|20170113|20170211|105.153.635|00105153635|0|||20170201|20460201||1|1|0|1697.8|SLR40|1|0|0||||Offerte Easy
6050|20170114|BAN5|617783|2296213|BAN5|617783|2296213|20170113|20170113|20170713|105.153.633|00105153633|2|||20170201|20590601||12|1|0|4368|SLFVD3|1|0|0||||Offerte Easy
6050|20170114|WP81128|2561028|2236189|WP81128|2561028|2236189|20170113|20170113|20170713|105.153.634|00105153634|2|||20170205|20380205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP81128|2561028|2236189|WP81128|2561028|2236189|20170113|20170113|20170713|105.153.631|00105153631|2|||20170205|20380205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|KOLA|2517284|2296213|FUAR|2091729|2296213|20170113|20161212|20170212|105.136.149|00105136149|4|20161224|20170113|20161205|20631205||1|1|0|2300|SLPDP|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.630|00105153630|2|||20170205|20590205||12|1|0|2400|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|WP81128|2561028|2236189|WP81128|2561028|2236189|20170113|20170113|20170713|105.153.629|00105153629|2|||20170205|20380205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP810664|2668139|2523862|WP810664|2668139|2523862|20170113|20170113|20170713|105.153.628|00105153628|2|||20170205|20480205||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP81128|2561028|2236189|WP81128|2561028|2236189|20170113|20170113|20170713|105.153.627|00105153627|2|||20170205|20380205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|FREIM|2127111|2296213|FREIM|2127111|2296213|20170113|20170113|20170211|105.153.626|00105153626|0|||20170201|20280201||0|1|73171|0|SLFNE|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.625|00105153625|2|||20170205|20590205||12|1|0|3000|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|FREIM|2127111|2296213|FREIM|2127111|2296213|20170113|20170113|20170211|105.153.624|00105153624|0|||20170201|20280201||0|1|73171|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|90593|2503111|2346923|90593|2503111|2346923|20170113|20170113|20170713|105.153.623|00105153623|2|||20170205|20470205||1|1|0|5000|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|RUBINOT|2298973|2296213|RUBINOT|2298973|2296213|20170113|20170113|20170713|105.153.621|00105153621|2|||20170205|20350205||12|1|0|1260|SLPKP|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.622|00105153622|2|||20170205|20590205||12|1|0|3000|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|SBRA|2661379|2296213|SBRA|2661379|2296213|20170113|20170113|20170211|105.153.620|00105153620|0|||20170205|20330105||1|1|0|14400|SLPUP|1|0|0||||Offerte Easy
6050|20170114|FLUN|2615474|2296213|FLUN|2615474|2296213|20170113|20170113|20170313|105.132.037|00105132037|4|20170113|20170113|20161205|20501205||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|FREIM|2127111|2296213|FREIM|2127111|2296213|20170113|20170113|20170211|105.153.619|00105153619|0|||20170201|20280201||0|1|73171|0|SLFGE|1|0|0||||Offerte Easy
6050|20170114|WP04885|2521827|2322390|WP04885|2521827|2322390|20170113|20170113|20170713|105.153.618|00105153618|2|||20170201|20330801||1|1|0|1478|SLR40|1|0|0||||Offerte Easy
6050|20170114|SBRA|2661379|2296213|SBRA|2661379|2296213|20170113|20170113|20170211|105.153.617|00105153617|0|||20170201|20320201||0|1|157561|0|SLFNE|1|0|0||||Offerte Easy
6050|20170114|BLAETTD|2321124|2296213|BLAETTD|2321124|2296213|20170113|20170113|20170211|105.153.616|00105153616|0|||20170205|20320205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|SCHALLF|2238579|2296213|SCHALLF|2238579|2296213|20170113|20170113|20170211|105.153.615|00105153615|0|||20170205|20520205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|GYGR|2056622|2296213|GYGR|2056622|2296213|20170113|20170113|20170713|105.153.614|00105153614|2|||20170201|20270201||1|1|0|1124.3|SLR40|1|0|0||||Offerte Easy
6050|20170114|SAEN|2559128|2296213|SAEN|2559128|2296213|20170113|20170113|20170211|105.153.613|00105153613|0|||20170201|20341001||1|1|0|1567.6|SLR40|1|0|0||||Offerte Easy
6050|20170114|108639|2503111|2346923|108639|2503111|2346923|20170113|20170113|20170713|105.153.612|00105153612|2|||20170205|20440205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|GYGR|2056622|2296213|GYGR|2056622|2296213|20170113|20170113|20170713|105.153.609|00105153609|2|||20170201|20541101||1|1|0|4452.1|SLR40|1|0|0||||Offerte Easy
6050|20170114|||2577996|U5BD|2212580|2296213|20170113|20170113|20170713|105.153.610|00105153610|2|||20170220|20440520||0|1|240000|0|SLPKE|1|0|0||||Offerte Easy
6050|20170114|||2577996|U5BD|2212580|2296213|20170113|20170113|20170713|105.153.611|00105153611|2|||20170220|||1|1|0|1397.7|SLCAPC|1|0|0||||Offerte Easy
6050|20170114|111155|2503111|2346923|111155|2503111|2346923|20170113|20170113|20170713|105.153.546|00105153546|2|||20170205|20530205||12|1|0|2100|SLPDP|1|0|0||||Offerte Easy
6050|20170114|NSAM|2659800|2296213|NSAM|2659800|2296213|20170113|20170113|20170211|105.153.608|00105153608|0|||20170201|20450601||1|1|0|305.8|SLR40|1|0|0||||Offerte Easy
6050|20170114|RUCJ|2587325|2296213|RUCJ|2587325|2296213|20170113|20170113|20170211|105.153.607|00105153607|0|||20170205|20410205||1|1|0|6768|SLPDV1|1|0|0||||Offerte Easy
6050|20170114|ARKA|2381596|2296213|ARKA|2381596|2296213|20170113|20170113|20170211|105.153.606|00105153606|0|||20170201|20370201||1|1|0|2173.2|SLR40|1|0|0||||Offerte Easy
6050|20170114|110949|2503111|2346923|110949|2503111|2346923|20170113|20170113|20170713|105.153.605|00105153605|2|||20170205|20510705||12|1|0|1800|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|108190|2503111|2346923|108190|2503111|2346923|20170113|20170113|20170713|105.153.604|00105153604|2|||20170305|20510705||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|108190|2503111|2346923|108190|2503111|2346923|20170113|20170113|20170713|105.153.603|00105153603|2|||20170305|20510705||12|1|0|3000|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|ARKA|2381596|2296213|ARKA|2381596|2296213|20170113|20170113|20170211|105.153.602|00105153602|0|||20170201|20370201||1|1|0|4375.5|SLR40|1|0|0||||Offerte Easy
6050|20170114|108190|2503111|2346923|108190|2503111|2346923|20170113|20170113|20170713|105.153.601|00105153601|2|||20170305|20510705||12|1|0|3000|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|SASP|2615714|2296213|SASP|2615714|2296213|20170113|20170113|20170713|105.153.600|00105153600|2|||20170201|20530201||1|1|0|3134.3|SLR40|1|0|0||||Offerte Easy
6050|20170114|108190|2503111|2346923|108190|2503111|2346923|20170113|20170113|20170713|105.153.598|00105153598|2|||20170305|20510705||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|ARKA|2381596|2296213|ARKA|2381596|2296213|20170113|20170113|20170211|105.153.599|00105153599|0|||20170201|20350201||1|1|0|4187.4|SLR40V|1|0|0||||Offerte Easy
6050|20170114|SVAN|2571342|2296213|SVAN|2571342|2296213|20170113|20170113|20170713|105.129.445|00105129445|2|||20170205|20540905||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|ONLVERK|0|2296213|ONLVERK|0|2296213|20170113|20170109|20170709|105.151.157|00105151157|4|20170110|20170113|20170201|20180201||1|1|0|85.7|SL42|1|0|0||||Verkauf Online
6050|20170114|SBRA|2661379|2296213|SBRA|2661379|2296213|20170113|20170113|20170211|105.153.597|00105153597|0|||20170201|20320201||0|1|203220|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|108190|2503111|2346923|108190|2503111|2346923|20170113|20170113|20170211|105.153.596|00105153596|0|||20170305|20510705||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|110961|2503111|2346923|110961|2503111|2346923|20170113|20170113|20170713|105.153.595|00105153595|2|||20170305|20420305||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|107842|2503111|2346923|107842|2503111|2346923|20170113|20170113|20170713|105.153.594|00105153594|2|||20170205|20500205||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|ROEB|2578834|2296213|ROEB|2578834|2296213|20170113|20170113|20170211|105.153.593|00105153593|0|||20170201|||0|1|500000|0|SLCAXC|1|0|0||||Offerte Easy
6050|20170114|HSTA|111962|2296213|HSTA|111962|2296213|20170113|20170110|20170711|105.151.373|00105151373|4|20170113|20170113|20170201|20320201||0|1|30000|0|SLFNE|1|0|0||||Offerte Easy
6050|20170114|WP82445|2586381|2369064|WP82445|2586381|2369064|20170113|20170113|20170713|105.153.591|00105153591|2|||20170205|20330205||12|1|0|3000|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111141|2503111|2346923|111141|2503111|2346923|20170113|20170113|20170713|105.153.592|00105153592|2|||20170205|20500705||12|1|0|2400|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|110961|2503111|2346923|110961|2503111|2346923|20170113|20170113|20170713|105.153.589|00105153589|2|||20170305|20420305||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|ZEILERG|2259409|2296213|ZEILERG|2259409|2296213|20170113|20170113|20170713|105.153.590|00105153590|2|||20170205|20530205||1|1|0|1800|SLPDP|1|0|0||||Offerte Easy
6050|20170114|BLAETTD|2321124|2296213|BLAETTD|2321124|2296213|20170113|20170113|20170211|105.153.588|00105153588|0|||20170205|20560205||1|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|GALAA|1082696|2296213|GALAA|1082696|2296213|20170113|20170113|20170211|105.153.587|00105153587|0|||20170120|||1|1|0|1472.9|SLCAPC|1|0|0||||Offerte Easy
6050|20170114|GALAA|1082696|2296213|GALAA|1082696|2296213|20170113|20170113|20170211|105.153.586|00105153586|0|||20170120|20420520||0|1|400000|0|SLPKE|1|0|0||||Offerte Easy
6050|20170114|BLAETTD|2321124|2296213|BLAETTD|2321124|2296213|20170113|20170113|20170211|105.153.585|00105153585|0|||20170205|20560205||1|1|0|3600|SLPDV3|1|3168|0||||Offerte Easy
6050|20170114|EISEA|1085401|2296213|EISEA|1085401|2296213|20170113|20170113|20170713|105.153.504|00105153504|4|20170113|20170113|20170205|20390205||1|1|0|2000|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|30228|2503111|2346923|30228|2503111|2346923|20170113|20170113|20170713|105.153.584|00105153584|2|||20170205|20370805||12|1|0|5760|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|ITMU|2521185|2296213|ITMU|2521185|2296213|20170113|20170113|20170713|105.153.583|00105153583|2|||20170201|20500201||1|1|0|707.4|SLR40|1|0|0||||Offerte Easy
6050|20170114|GAROR|2239435|2296213|GAROR|2239435|2296213|20170113|20170109|20170709|105.150.880|00105150880|4|20170111|20170113|20170201|20270201||0|1|524878|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|ERNIR|2246196|2296213|ERNIR|2246196|2296213|20170113|20170113|20170713|105.153.580|00105153580|2|||20170205|20430205||1|1|0|2000|SLPDV6|1|0|0||||Offerte Easy
6050|20170114|GJON|2647002|2296213|GJON|2647002|2296213|20170113|20170113|20170713|105.153.575|00105153575|2|||20170205|20361105||1|1|0|2400|SLPKP|1|0|0||||Offerte Easy
6050|20170114|WP83123|2602299|2583449|WP83123|2602299|2583449|20170113|20170113|20170713|105.153.582|00105153582|2|||20170205|20550205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|KHE1|2175191|2296213|KHE1|2175191|2296213|20170113|20170113|20170211|105.153.581|00105153581|0|||20170201|20450201||1|1|0|560.3|SLR40|1|0|0||||Offerte Easy
6050|20170114|WP810577|2376738|2625552|WP810577|2376738|2625552|20170113|20170113|20170713|105.153.578|00105153578|2|||20170201|20510501||2|1|0|694|SLR40V|1|0|0||||Offerte Easy
6050|20170114|WP810172|2653388|2587462|WP810172|2653388|2587462|20170113|20170113|20170713|105.153.576|00105153576|2|||20170305|20420705||12|1|0|6768|SLPDV6|1|0|0||||Offerte Easy
6050|20170114|109355|2503111|2346923|109355|2503111|2346923|20170113|20170113|20170713|105.153.579|00105153579|2|||20170205|20620405||12|1|0|3000|SLPDV3|1|0|0||||AWD Tarifrechner
