datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170128|LAUMA|2318130|2296213|LAUMA|2318130|2296213|2017011|20170116|20170214|105.153.802|00105153802|0| | |20170116|20380916| |1|1.0000|0.00|1461.50|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|LAUMA|2318130|2296213|LAUMA|2318130|2296213|2017011|20170116|20170214|105.153.803|00105153803|0| | |20170116|20380916| |1|1.0000|0.00|765.60|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|WP810509|2573433|2661811|WP810509|2573433|2661811|2017011|20170115|20170213|105.153.792|00105153792|0| | |20170201|20270201| |12|1.0000|0.00|2400.00|SLFUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|BSDD|2371525|2296213|BSDD|2371525|2296213|2017011|20170115|20170213|105.153.793|00105153793|0| | |20170201|20340201| |12|1.0000|0.00|3415.20|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ROTD|2392133|2296213|ROTD|2392133|2296213|2017011|20170116|20170214|105.153.810|00105153810|0| | |20170201|20270201| |1|1.0000|0.00|3822.60|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SGLO|2652796|2296213|SGLO|2652796|2296213|2017011|20170116|20170214|105.153.811|00105153811|0| | |20170201|20270201| |1|1.0000|0.00|1251.20|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SGLO|2652796|2296213|SGLO|2652796|2296213|2017011|20170116|20170214|105.153.812|00105153812|0| | |20170201|20270201| |1|1.0000|0.00|3482.10|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ROTD|2392133|2296213|ROTD|2392133|2296213|2017011|20170116|20170214|105.153.814|00105153814|0| | |20170205|20370205| |1|1.0000|0.00|6000.00|SLPUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SCHAERA|2254974|2296213|SCHAERA|2254974|2296213|2017011|20170116|20170214|105.153.815|00105153815|0| | |20170205|20510205| |1|1.0000|0.00|6768.00|SLPDV1|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|MAN6|2609476|2296213|MAN6|2609476|2296213|2017011|20170116|20170214|105.153.826|00105153826|0| | |20170205|20530205| |1|1.0000|0.00|4800.00|SLPDV3|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|MAN6|2609476|2296213|MAN6|2609476|2296213|2017011|20170116|20170214|105.153.829|00105153829|0| | |20170205|20530205| |1|1.0000|0.00|6768.00|SLPDV1|1.0000|0.00|0| | | |Offerte Easy
