datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170128|00105149301|2382970|0| |1
6050|20170128|00105130523|2580223|0| |1
6050|20170128|00105149355|2510424|0|1.0000|20
6050|20170128|00105149355|2593929|0| |1
6050|20170128|00105132295|2580220|0|1.0000|20
6050|20170128|00105148064|2369064|0|1.0000|20
6050|20170128|00105148064|2654769|0| |1
6050|20170128|00105150063|2060173|0|1.0000|20
6050|20170128|00105150063|2060173|0| |1
6050|20170128|00105150079|2060173|0|1.0000|20
6050|20170128|00105150079|2060173|0| |1
6050|20170128|00105153494|753674|0|1.0000|20
6050|20170128|00105152286|2602697|0| |1
6050|20170128|00105151150|2602697|0|1.0000|20
6050|20170128|00105151150|2602697|0| |1
6050|20170128|00105118359|2666148|0|1.0000|20
6050|20170128|00105118359|2666148|0| |1
6050|20170128|00105126625|2531534|0|1.0000|20
6050|20170128|00105152230|2123061|0| |1
6050|20170128|00105146041|2509996|0|1.0000|20
6050|20170128|00105153985|2601861|0|1.0000|20
6050|20170128|00105153985|2601861|0| |1
6050|20170128|00105135481|2384657|0|1.0000|20
6050|20170128|00105135481|2384657|0| |1
6050|20170128|00105146889|963171|0|1.0000|20
6050|20170128|00105146889|963171|0| |1
6050|20170128|00105152753|2046374|0|1.0000|20
6050|20170128|00105152746|111962|0|1.0000|20
6050|20170128|00105154149|2605629|0| |1
6050|20170128|00105152777|2659762|0|1.0000|20
6050|20170128|00105152777|2659762|0| |1
6050|20170128|00105149243|2626772|0|1.0000|20
6050|20170128|00105153411|2655604|0|1.0000|20
6050|20170128|00105153411|2655604|0| |1
6050|20170128|00105150124|2656304|0| |1
6050|20170128|00105130161|2227757|0|1.0000|20
6050|20170128|00105151224|2177041|0| |1
6050|20170128|00105153069|2346923|0|1.0000|20
6050|20170128|00105153069|2346923|0| |1
6050|20170128|00105154087|2060173|0|1.0000|20
6050|20170128|00105154087|2060173|0| |1
6050|20170128|00105148417|2580223|0| |1
6050|20170128|00105144985|2346923|0|1.0000|20
6050|20170128|00105144985|2346923|0| |1
6050|20170128|00105134438|2516748|0|1.0000|20
6050|20170128|00105152401|2523862|0|1.0000|20
6050|20170128|00105152401|2523862|0| |1
6050|20170128|00105153351|2047106|0|1.0000|20
6050|20170128|00105152917|2588408|0|1.0000|20
6050|20170128|00105152917|2588408|0| |1
6050|20170128|00105153389|2346923|0| |1
6050|20170128|00105151300|2313670|0|1.0000|20
6050|20170128|00105151300|2313670|0| |1
6050|20170128|00105151301|2313670|0| |1
6050|20170128|00105155058|1031170|0|1.0000|20
6050|20170128|00105155058|1031170|0| |1
6050|20170128|00105153305|2155133|0|1.0000|20
6050|20170128|00105153305|2155133|0| |1
6050|20170128|00105155144|2319197|0|1.0000|20
6050|20170128|00105149806|2578719|0|1.0000|20
6050|20170128|00105149806|2578719|0| |1
6050|20170128|00105155068|2578498|0|0.5000|20
6050|20170128|00105155068|2578498|0| |1
6050|20170128|00105155068|2592672|0|0.5000|21
6050|20170128|00105133820|2346923|0|1.0000|20
6050|20170128|00105133820|2346923|0| |1
